Date;Close;Log_Weekly_Returns
2009-08-31; $102,06 ;-0,012850644
2009-09-08; $104,77 ;0,026206596
2009-09-14; $106,72 ;0,018441111
2009-09-21; $104,45 ;-0,021500094
2009-09-28; $102,49 ;-0,018943255
2009-10-05; $107,26 ;0,045490561
2009-10-12; $108,89 ;0,015082405
2009-10-19; $108,08 ;-0,007466505
2009-10-26; $103,56 ;-0,042720539
2009-11-02; $107,13 ;0,033891895
2009-11-09; $109,62 ;0,022976789
2009-11-16; $109,43 ;-0,001734764
2009-11-23; $109,57 ;0,001278539
2009-11-30; $111,01 ;0,013056673
2009-12-07; $111,11 ;0,000900414
2009-12-14; $110,21 ;-0,008133065
2009-12-21; $112,48 ;0,020387791
2009-12-28; $111,44 ;-0,009289099
2010-01-04; $114,57 ;0,02769966
2010-01-11; $113,64 ;-0,008150433
2010-01-19; $109,21 ;-0,039762923
2010-01-25; $107,39 ;-0,016805566
2010-02-01; $106,66 ;-0,006820863
2010-02-08; $108,04 ;0,012855324
2010-02-16; $111,14 ;0,028289139
2010-02-22; $110,74 ;-0,003605556
2010-03-01; $114,25 ;0,031203918
2010-03-08; $115,46 ;0,01053512
2010-03-15; $115,97 ;0,004407387
2010-03-22; $116,58 ;0,005263351
2010-03-29; $117,80 ;0,010393383
2010-04-05; $119,55 ;0,014746423
2010-04-12; $119,36 ;-0,001590557
2010-04-19; $121,81 ;0,020338841
2010-04-26; $118,81 ;-0,024936357
2010-05-03; $111,26 ;-0,065676816
2010-05-10; $113,89 ;0,023363266
2010-05-17; $109,12 ;-0,042830698
2010-05-24; $109,37 ;0,002325114
2010-06-01; $106,82 ;-0,023582311
2010-06-07; $109,68 ;0,02642186
2010-06-14; $111,73 ;0,018509261
2010-06-21; $107,87 ;-0,035172674
2010-06-28; $102,20 ;-0,053971944
2010-07-06; $107,96 ;0,05482911
2010-07-12; $106,66 ;-0,012114583
2010-07-19; $110,41 ;0,034554504
2010-07-26; $110,27 ;-0,001268806
2010-08-02; $112,39 ;0,019060857
2010-08-09; $108,31 ;-0,036995275
2010-08-16; $107,53 ;-0,007227607
2010-08-23; $106,86 ;-0,006250312
2010-08-30; $110,89 ;0,037019152
2010-09-07; $111,48 ;0,005324424
2010-09-13; $112,49 ;0,009001186
2010-09-20; $114,82 ;0,020501356
2010-09-27; $114,61 ;-0,001830624
2010-10-04; $116,54 ;0,016678049
2010-10-11; $117,70 ;0,009925905
2010-10-18; $118,35 ;0,005481973
2010-10-25; $118,49 ;0,001207582
2010-11-01; $122,73 ;0,035117511
2010-11-08; $120,20 ;-0,020805697
2010-11-15; $120,29 ;0,000765111
2010-11-22; $119,29 ;-0,008347991
2010-11-29; $122,89 ;0,029732143
2010-12-06; $124,48 ;0,012855414
2010-12-13; $124,30 ;-0,001447062
2010-12-20; $125,60 ;0,010404256
2010-12-27; $125,75 ;0,001193555
2011-01-03; $127,14 ;0,010993033
2011-01-10; $129,30 ;0,016846444
2011-01-18; $128,37 ;-0,007218567
2011-01-24; $127,72 ;-0,005076351
2011-01-31; $131,15 ;0,026501338
2011-02-07; $133,11 ;0,014834148
2011-02-14; $134,53 ;0,010611368
2011-02-22; $132,33 ;-0,01648842
2011-02-28; $132,47 ;0,001057402
2011-03-07; $130,84 ;-0,012381002
2011-03-14; $127,76 ;-0,023821699
2011-03-21; $131,30 ;0,027331277
2011-03-28; $133,15 ;0,013991531
2011-04-04; $132,86 ;-0,00218037
2011-04-11; $132,04 ;-0,006191035
2011-04-18; $133,78 ;0,013091753
2011-04-25; $136,43 ;0,019615003
2011-05-02; $134,20 ;-0,016480438
2011-05-09; $134,04 ;-0,001192962
2011-05-16; $133,61 ;-0,003213154
2011-05-23; $133,51 ;-0,000748727
2011-05-31; $130,42 ;-0,023416369
2011-06-06; $127,60 ;-0,021859641
2011-06-13; $127,05 ;-0,004319661
2011-06-20; $126,81 ;-0,001890807
2011-06-27; $133,92 ;0,054552703
2011-07-05; $134,40 ;0,003577821
2011-07-11; $131,69 ;-0,020369752
2011-07-18; $134,58 ;0,021708142
2011-07-25; $129,33 ;-0,03979154
2011-08-01; $120,08 ;-0,07420909
2011-08-08; $118,12 ;-0,01645713
2011-08-15; $112,64 ;-0,047504164
2011-08-22; $117,97 ;0,046233462
2011-08-29; $117,85 ;-0,001017725
2011-09-06; $115,92 ;-0,016512331
2011-09-12; $121,52 ;0,047186789
2011-09-19; $113,54 ;-0,06793189
2011-09-26; $113,15 ;-0,003440826
2011-10-03; $115,71 ;0,022372689
2011-10-10; $122,57 ;0,057595234
2011-10-17; $123,97 ;0,011357305
2011-10-24; $128,60 ;0,036667211
2011-10-31; $125,48 ;-0,024552459
2011-11-07; $126,66 ;0,009351978
2011-11-14; $121,98 ;-0,037657432
2011-11-21; $116,34 ;-0,04733196
2011-11-28; $124,86 ;0,070676171
2011-12-05; $126,05 ;0,009485544
2011-12-12; $121,59 ;-0,036023924
2011-12-19; $126,39 ;0,038717635
2011-12-27; $125,50 ;-0,007066606
2012-01-03; $127,71 ;0,01745631
2012-01-09; $128,84 ;0,008809256
2012-01-17; $131,95 ;0,023851738
2012-01-23; $131,82 ;-0,000985707
2012-01-30; $134,54 ;0,020424197
2012-02-06; $134,36 ;-0,001331345
2012-02-13; $136,41 ;0,015134849
2012-02-21; $136,93 ;0,00380479
2012-02-27; $137,31 ;0,002785862
