N_LONG,N_SHORT,Score,ExpExcess,ExpNominal,Beta,VolMonthly,SharpeAnn,CashAbs
164,69,1.077588574918329,0.011701173962288916,0.015121107404422516,3.729144150719889e-17,0.01084567244976808,3.7373483119195288,0.0
143,87,1.0775867485769017,0.011312097678516717,0.014732031120650317,-4.0549161250957866e-16,0.01048618166170723,3.7369423020625017,0.0
154,55,1.0775854241821026,0.012485736162289054,0.015905669604422655,2.0177667725617846e-16,0.011570284890234452,3.738184428153087,0.0
135,85,1.077584070672137,0.01160545985169683,0.01502539329383043,-9.71445146547012e-17,0.010758140058470273,3.736937054005583,0.0
158,53,1.077580946445497,0.012415276916469837,0.015835210358603437,-2.458970527197124e-16,0.011504669251408578,3.7382892005747985,0.0
123,87,1.0775758304533036,0.011702988046688593,0.015122921488822194,-3.9811903773667723e-16,0.010847919166547634,3.7371535657721733,0.0
139,86,1.077568133387614,0.011476080529379675,0.014896013971513276,-3.4886597009320463e-16,0.010638441520676752,3.736854596606942,0.0
106,88,1.077549586690771,0.012077312522945603,0.015497245965079204,-3.583288180064592e-16,0.011194391973214386,3.7373211441376837,0.0
116,89,1.0775463262946907,0.011730780564399102,0.015150714006532702,2.5982980838950615e-16,0.010874366504199111,3.736917997408839,0.0
126,52,1.0775417448793692,0.01301489624251698,0.01643482968465058,1.2836953722228372e-16,0.01205959137912687,3.738511669026183,0.0
137,52,1.0775396347222685,0.01287309269855964,0.01629302614069324,7.516928654153838e-16,0.011928518808941913,3.7384106042964818,0.0
95,84,1.077535279995369,0.012611443601133712,0.016031377043267313,1.2869479787402938e-15,0.01168760313062946,3.7379197137020785,0.0
97,85,1.0775323069786436,0.012492079121015284,0.015912012563148885,1.3801893655740471e-15,0.011577316651187605,3.737811857732907,0.0
142,86,1.0775287226426231,0.011384842125190336,0.014804775567323937,-3.3306690738754696e-16,0.010554144233745122,3.736754882301394,0.0
113,72,1.0775286092214909,0.012538491392456441,0.015958424834590042,1.0153793081582101e-16,0.011621034538515748,3.7375853363178035,0.0
92,75,1.0775261498712627,0.013151967992795818,0.01657190143492942,-1.3574211199518516e-16,0.012186671783666222,3.7384902436732323,0.0
110,93,1.0775250137067123,0.011897728958320522,0.015317662400454122,-2.3700659490533127e-16,0.011029224370690151,3.736884908291183,0.0
149,87,1.0774812959780946,0.011179742709297651,0.014599676151431252,-2.6020852139652106e-16,0.010365268388814597,3.736301205465607,0.0
120,50,1.077469950885064,0.013259605295377926,0.016679538737511525,5.403663627667754e-16,0.012286205394431843,3.7385521929028345,0.0
128,93,1.0774684637995888,0.011461926414714094,0.014881859856847694,-9.725261600053911e-17,0.010626720266213762,3.736362378149617,0.0
149,68,1.0774632358666119,0.012013117593610085,0.015433051035743686,-1.9161726509463664e-17,0.011135902974882865,3.7369811997039424,0.0
135,50,1.0774289389682348,0.013047249607181618,0.01646718304931522,8.248995143542674e-16,0.012090725283905257,3.7381544428528133,0.0
136,50,1.077425757635379,0.013009738358565018,0.01642967180069862,-2.6194324487249787e-16,0.012056134928269714,3.7381014668929766,0.0
157,53,1.0774210364311458,0.012424688830504672,0.015844622272638272,4.40619762898109e-16,0.011515026325113469,3.7377582499717934,0.0
133,50,1.0774015561405386,0.01305021362977405,0.01647014707190765,1.7104373473131318e-15,0.012093922866788226,3.7380150849927394,0.0
151,54,1.0773985366634244,0.01261247672539114,0.01603241016752474,5.586363672196222e-16,0.011688677716806001,3.737882252711607,0.0
145,53,1.0773886261231815,0.012630516612555414,0.016050450054689015,-7.37257477290143e-17,0.011705728584180012,3.737776139514205,0.0
106,95,1.0773588536943595,0.011889450740930858,0.015309384183064458,-3.3504464659065796e-16,0.011022683963502963,3.736500624632853,0.0
110,91,1.0773530159652327,0.011881214826342208,0.015301148268475808,-4.9849161062990356e-17,0.011015831021729837,3.736235186300779,0.0
92,81,1.0773356960816105,0.012930187550335679,0.01635012099246928,6.30314222575724e-16,0.011984862367636724,3.737338169030995,0.0
137,85,1.077334455422542,0.011541284370186696,0.014961217812320297,3.135512682828079e-16,0.010701296113504146,3.7360130402406293,0.0
93,75,1.0773317589965345,0.01309848918590987,0.01651842262804347,-5.030698080332741e-16,0.012138811560975144,3.7379686896737474,0.0
160,55,1.077321846066489,0.012390688306655054,0.015810621748788653,-1.973247953923618e-16,0.011484931381378684,3.737297329032862,0.0
150,58,1.0773030215642154,0.012422387012209553,0.015842320454343153,-2.255140518769849e-16,0.01151474507657992,3.7371570648477395,0.0
152,51,1.0772925713982027,0.01262711766983305,0.01604705111196665,2.467644144577008e-16,0.011704561908406358,3.737142753133493,0.0
113,90,1.0772876473182607,0.011789656176812411,0.015209589618946012,-4.314040444319822e-16,0.010931562244308817,3.736022911572137,0.0
152,53,1.07728663759546,0.012495654924469643,0.015915588366603242,-2.57303137737831e-16,0.011582608478271904,3.737173581172237,0.0
158,51,1.0772845855805693,0.012543025492746336,0.015962958934879937,-4.861117655640521e-16,0.011626393127092006,3.737213630501449,0.0
103,71,1.0772780987626844,0.012894623149121553,0.016314556591255153,-1.9147010366094008e-16,0.011951734486960639,3.7373893242188254,0.0
153,69,1.0772756838193842,0.011915109495958112,0.015335042938091712,2.970713952610282e-16,0.011047241293977375,3.7362404740804984,0.0
164,53,1.0772663601733616,0.012257251536321463,0.015677184978455064,-2.676400913702229e-16,0.01136174544406293,3.737133968822416,0.0
159,53,1.077256381258209,0.01239827921083271,0.01581821265296631,-2.6194324487249787e-16,0.011492212879977018,3.73721749568394,0.0
118,72,1.0772516210981224,0.012395633928769922,0.015815567370903522,-1.5655879370690684e-16,0.011491826270149266,3.736545828651001,0.0
127,52,1.077248009742289,0.012997880159860364,0.016417813601993965,-2.7485880325223144e-16,0.012046818668584218,3.7375824185482545,0.0
114,92,1.0772404677333112,0.011748645659968231,0.015168579102101832,6.722053469410127e-17,0.010894340815228273,3.735747127489177,0.0
143,69,1.0772335102656805,0.012113523220243361,0.015533456662376962,-4.336808689942018e-17,0.01123080489594057,3.7363729261667844,0.0
161,53,1.0772026227933635,0.012320725286248752,0.015740658728382352,2.203098814490545e-16,0.011421094277345056,3.7369662947642097,0.0
148,87,1.0771980370778111,0.011205955378809463,0.014625888820943064,1.706534219492184e-16,0.010392103847862792,3.735390705788489,0.0
163,68,1.0771747570984442,0.011757745656458648,0.015177679098592248,2.3375398838787476e-16,0.010901847719713883,3.736066285833817,0.0
180,83,1.0771731222940089,0.010714454561442838,0.014134388003576439,1.2576745200831851e-16,0.009937237070732054,3.7350381285489416,0.0
154,58,1.0771623316248415,0.012347005865864043,0.015766939307997642,-4.2327252813834093e-16,0.011446204020390881,3.7367220508965158,0.0
156,69,1.0771610132736655,0.011877111182452105,0.015297044624585705,2.1246673242100946e-16,0.011013055476605022,3.7358860234295554,0.0
164,68,1.0771595135430867,0.011734047930956781,0.015153981373090382,7.112366251504909e-17,0.010880234552643961,3.7359428414025806,0.0
160,58,1.0771437198796379,0.01225615038041842,0.01567608382255202,1.3183898417423734e-16,0.011362148541714164,3.73666566427175,0.0
138,72,1.0771394650614396,0.012051630109722357,0.015471563551855957,1.5699247457590104e-16,0.011174715863500615,3.7359402993405437,0.0
146,57,1.077130826855022,0.012522697491627256,0.015942630933760856,1.3357370765021415e-16,0.01160834520386645,3.736957838932867,0.0
151,69,1.0771278946890572,0.011964178393689589,0.015384111835823189,1.43982048506075e-16,0.01109418696094869,3.7357518710710695,0.0
105,71,1.0771125685312584,0.012808111482693492,0.01622804492482709,-7.164407955784213e-16,0.011874161526037267,3.7365669632144516,0.0
111,88,1.0771122942337046,0.011991906036205879,0.01541183947833948,-8.988036009904832e-17,0.011120335061400886,3.7356051629048497,0.0
125,52,1.0771096068221895,0.013031973565075933,0.016451907007209533,-3.2369222149023387e-16,0.012080182468094797,3.737036323287579,0.0
107,86,1.077100755265938,0.012176621923080198,0.015596555365213798,1.835031389313244e-15,0.011291657878681294,3.735594553418231,0.0
129,90,1.0770969286600447,0.01148261739926219,0.01490255084139579,-2.2703193491846463e-16,0.01064920078151341,3.735205513999158,0.0
129,92,1.0770801839049247,0.01147995873192757,0.014899892174061171,3.0541876293088546e-16,0.01064705397680875,3.7350936391988387,0.0
145,54,1.0770747849808548,0.012731183396516929,0.016151116838650528,-3.0921445959286586e-16,0.011801451678210588,3.737007460524238,0.0
143,55,1.077072928874993,0.012706567119597991,0.01612650056173159,2.1163626406917047e-16,0.011779769399249986,3.7366469741468986,0.0
157,51,1.0770672397072036,0.012552720494014026,0.015972653936147625,3.400058012914542e-16,0.011637652298972385,3.736483804514975,0.0
148,55,1.0770360510486576,0.012598024745511402,0.016017958187645003,-9.172350379227368e-17,0.01168018522085937,3.736313854897977,0.0
164,51,1.077030921466611,0.012388341409596298,0.0158082748517299,-3.3957212042246e-16,0.011485915200786383,3.7362693991439464,0.0
