Symbol,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,Alpha_annual,R2,N_obs
AXP,0.003858108578285072,1.2196356079619775,-0.2428639069248899,0.8936942723379571,-0.6826170675368213,-0.413392974230009,0.047292457561928014,0.6963862997020862,59
AZO,0.004963310204481695,0.6481444828044156,-0.0640218202822059,0.1965249033630828,0.6537390261074766,0.18973419259776483,0.061212797876951,0.3719957621654262,59
BA,-0.02973947718738409,1.2764375558260275,1.1185190109549097,0.6120566770493109,0.7044243976390289,-0.423278577590584,-0.3039181047082613,0.4761522616695292,59
BAC,-0.005440615280866257,1.3064926326144122,-0.2961731965740943,1.4082317989865074,-0.6929887464973128,-0.6963607784630803,-0.06336876360762556,0.8814787015318692,59
BALL,-0.017152868076538676,0.8219613378282009,0.175710548465352,-0.06299267185023728,0.44574032740879316,-0.3925546507201101,-0.18748442234135565,0.3680854591960735,59
BAX,-0.026947397970339775,0.7662771622333232,-0.3564272213313058,0.1409095012256237,-0.29485824770053526,1.0911565010796382,-0.27949695602599733,0.3746007076732961,59
BBY,-0.017148908912010145,1.3798089254226409,0.03721007465142819,0.22875233850322277,0.46339654578269196,0.08339373514860156,-0.18744514517580013,0.5491763384498256,59
BDX,-0.010954371040892278,0.49918543097017254,0.03296778118900361,-0.310889943396218,0.16153411210278928,1.184922523855684,-0.1238147550485128,0.35026534981087876,59
BF-B,-0.021447333620344317,0.6660488690080577,0.397850775093634,-0.286334508269551,0.587664741283921,0.24246985745290908,-0.22907797089023552,0.3888426823096661,59
BG,0.00027312390111611446,0.7256776642631072,-0.2645108393798053,0.8955381386572512,-0.3095421737212517,0.08058954822551088,0.0032824146783732022,0.38651838711731934,59
BIIB,-0.011657295822026355,-0.019027268594435338,0.3747390570912856,-0.7279878913098295,0.09617989083896306,0.5779522239083512,-0.13125817969186848,0.06620331304133431,59
BK,-0.0008135751595920529,0.9764485845139548,-0.17966006312365895,0.8520926577109392,-0.05843178107473073,-0.6070399542300565,-0.009719334470858154,0.6728077704438392,59
BKNG,0.0019552966900825016,1.4121488902144854,-0.5518001603945987,0.7688180365780404,-0.4617045477653536,-0.33598305979044735,0.023717542360094823,0.6358289261213996,59
BKR,-0.0008119038556462454,1.3414398522603466,0.33318207462201427,1.2065397435984586,-0.5233645076078064,0.3992966602254992,-0.009699457396846745,0.5949246436078015,59
BLDR,0.0033852843347300784,1.6826477014418624,1.2412927819184276,0.4981591551082716,1.1203640187951647,-1.1702235096372302,0.04138838237350839,0.6100956937129266,59
BLK,-0.001864110700394068,1.3014570539826238,-0.03717203841977184,0.031161385070753816,-0.20465627599899752,0.31727263634916614,-0.022141403546166782,0.6982226881665982,59
BMY,-0.007859184107875974,0.45588211159721426,0.41283837599302675,-0.15923262122248577,0.2778323473565123,0.7666741483943218,-0.09033853321448426,0.26959067249837343,59
BR,-0.0016299238914853312,0.9639922465272291,0.20467092572014575,-0.04012870382837599,0.2695640720185045,-0.33051063533635605,-0.019384696819318203,0.6488324795598144,59
BRK-B,-0.0005971997686333733,0.9331450697630267,-0.5207709960256941,0.4328105239988621,-0.07817986526054672,0.11617170073721417,-0.007142905279261869,0.6965149479346712,59
BRO,0.003422169853555598,0.8061625180467186,-0.4149875396569469,0.30378521789926427,0.052823410592208936,-0.7854268275151453,0.041847865908650306,0.5093973315491176,59
