Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
BKR,1.387502190687326,7.726941682472885e-06,9.272724086284434e-05,0.5590930808476896,0.3125850730517612,59
BLDR,2.102755558259431,0.010524640178335945,0.1338690251247172,0.7024638336937005,0.4934554376476509,59
BLK,1.278169746023985,0.0008518638327089274,0.010270396603053289,0.826364132630622,0.6828776796983603,59
BMY,0.46940625704935884,-0.004684083523042119,-0.05478329341831634,0.39233659809877086,0.15392800620771646,59
BR,1.0654926357490297,0.0015323876219794363,0.018544427821881815,0.7888687315747916,0.6223138756564207,59
BRK-B,0.8673552428947675,0.002812466506913756,0.03427658130633948,0.7734719281105152,0.598258823574998,59
BRO,0.8587147273525196,0.005478761372343036,0.06776287703640915,0.6750882870331711,0.45574419528938126,59
BSX,0.7709019431472361,0.004525187705157884,0.05567435092651518,0.651571837629074,0.4245458595913284,59
BX,1.520408766215563,0.006146565728668809,0.07630408827834634,0.7460471123689915,0.5565862938741106,59
BXP,1.2250196993400857,-0.019129937659836657,-0.20688209784881373,0.632681245544241,0.4002855584634122,59
C,1.4298920928061711,-0.011390866552259262,-0.12844375032403976,0.7110441375525988,0.505583765547919,59
CAG,0.2654888430390882,-0.003966607221594909,-0.046574452991853366,0.2391886330648878,0.05721120218744954,59
CAH,0.6136393849842533,0.009573390062062748,0.12112681745102538,0.4458055210091803,0.1987425625622667,59
CARR,1.0040577867332783,0.014925696000318052,0.19456827844001134,0.6800680487863245,0.4624925509800387,57
CAT,1.074646737936128,0.008288782469081954,0.10412749960568823,0.644501037146854,0.4153815868833705,59
CB,0.7001686325301272,0.003847663731896503,0.04716170382943963,0.5260275360188155,0.2767049686500262,59
CBOE,0.666303684877428,0.001607450802535524,0.01946086398486302,0.5600846301842259,0.31369479296860114,59
CBRE,1.4155059222434199,-0.0005873519550707341,-0.0070254991466595085,0.7273229888089169,0.5289987300499358,59
CCI,0.8794682339425245,-0.014372285872832718,-0.15946678660700975,0.5875507589502433,0.3452158943430069,59
CCL,2.802590812038597,-0.03411811271232164,-0.3406921231256107,0.6951443327718045,0.4832256433847573,59
CDNS,0.9819751852512029,0.014153256601791288,0.1837038903526964,0.6405768064975252,0.4103386450225679,59
