Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
AXP,1.2278030329060428,0.003136594720213378,0.03829529661665254,0.738599311302582,0.5455289426566485,59
AZO,0.6842203806643805,0.011159481408313549,0.14244657999131793,0.5298699257806689,0.2807621382468116,59
BA,1.5965484361958855,-0.024884221494896844,-0.2609493443658656,0.594145474114929,0.3530088444112538,59
BAC,1.3495631207165089,-0.006070899664848657,-0.07046687033879029,0.7647043452919262,0.5847727357083535,59
BALL,0.9258304954465519,-0.013272718835681093,-0.1481450927240997,0.5804346392608629,0.33690437045388805,59
BAX,0.6081958786091342,-0.02424708684550104,-0.25513378094083594,0.42528713753138814,0.18086914934964185,59
BBY,1.4230494626302226,-0.010406431917781029,-0.1179720104121944,0.7195794533544716,0.5177945896899202,59
BDX,0.40397156637104525,-0.007032204199392773,-0.08119793453733448,0.3748037712103829,0.14047786691352504,59
BEN,1.4634000976436952,-0.013948540461692442,-0.1551201292150557,0.7557417088494167,0.5711455304946366,59
BF-B,0.7359261529485492,-0.016601271516762394,-0.18199546944948708,0.5841423370489197,0.3412222699329737,59
BG,0.7088114791509202,0.0013006898886000423,0.015720422609133422,0.4349980549539006,0.18922330781367672,59
BIIB,-0.04373029816224046,-0.011246089208084903,-0.12691089033956615,-0.02707765979017296,0.0007331996597123494,59
BK,1.0563986281718756,0.0011303205720282535,0.013648488604690145,0.7388560137833484,0.5459082091038195,59
BKNG,1.3711138767797932,0.0038409407266262255,0.047077549853563605,0.7546249963611849,0.5694588851331183,59
BKR,1.3875029577079094,7.718935076906838e-06,9.263115343327577e-05,0.5590933559584434,0.31258538067687475,59
BLDR,2.102755558259431,0.010524640178335945,0.1338690251247172,0.7024638336937005,0.4934554376476509,59
BLK,1.2781703276739402,0.0008518657691959051,0.010270420059577123,0.8263643259620466,0.6828779992227075,59
BMY,0.46940628838931464,-0.004684081292022691,-0.05478326799366218,0.3923366710578929,0.15392806345678925,59
BR,1.0654927771959002,0.001532386435412779,0.018544413341222032,0.7888688078882985,0.6223139960591052,59
BRK-B,0.8673552428947675,0.002812466506913756,0.03427658130633948,0.7734719281105152,0.598258823574998,59
BRO,0.8587150800744155,0.005478759998409765,0.06776285952791583,0.675088334469897,0.45574425933733953,59
BSX,0.7709019431472361,0.004525187705157884,0.05567435092651518,0.651571837629074,0.4245458595913284,59
BX,1.520409355422842,0.00614655964127735,0.07630401013604371,0.7460472215338458,0.5565864567583713,59
BXP,1.2250196198788645,-0.019129932199419608,-0.20688204486620432,0.6326810265820757,0.4002852813969492,59
C,1.4298920143878895,-0.011390865913683223,-0.1284437435684278,0.7110441944790394,0.5055838465023461,59
CAG,0.26548862974968046,-0.003966612890758996,-0.0465745181116658,0.2391884175994355,0.05721109911372194,59
