Ticker,Beta,Alpha,R²,Adj_R²,Std_Error,t_Statistic,p_value,F_Statistic,F_pvalue,N_Observations
KR,0.533147869006259,0.006089479296841814,0.09827935102981718,0.09617252708362523,0.07806037991061035,6.829942022019174,2.926339356334147e-11,46.648108024143376,2.9263393563341254e-11,430
KVUE,0.49223105624531116,-0.015991310496186448,0.0364944462026203,0.002083533566999529,0.4779733886226861,1.0298294172060698,0.31190433988025223,1.0605486285429935,0.31190433988025107,30
L,0.7527253394070462,0.000677663289094267,0.25379509838638514,0.2520516289900917,0.06238814678946042,12.065197928498309,4.703650725848138e-29,145.56900105383994,4.703650725848241e-29,430
LDOS,0.731357853192943,0.004642971351068205,0.16949371627361068,0.16583509828362653,0.10745129671410844,6.806412538127287,8.81959271615076e-11,46.32725163917634,8.819592716150869e-11,229
LEN,1.3695890976930338,0.007609866534483136,0.18843790839522298,0.18654173528399687,0.13738684317667854,9.96885193680265,3.4593062501789534e-21,99.37800893789395,3.459306250179028e-21,430
LH,0.6893028631845366,0.0030945631975416426,0.09545882715213085,0.09333549106563344,0.10280432969561289,6.70499837142513,6.414652524106264e-11,44.957003160813656,6.41465252410601e-11,428
LHX,0.8933399839816355,0.005331255077527618,0.21650395498019756,0.21467335674416999,0.08214485648027232,10.875178584019773,1.73191718691997e-24,118.26950923432234,1.73191718691998e-24,430
LII,0.8595967816787691,0.008694463000840159,0.18671168496820756,0.1841215947929471,0.10124334232011349,8.490403042610708,8.320339783351868e-16,72.08694382597315,8.320339783351918e-16,316
LIN,0.8469860701671652,0.004904107736004982,0.30352995708600017,0.3017844181313285,0.06423034580951609,13.18669640482738,3.285995759258211e-33,173.88896207308738,3.2859957592576774e-33,401
LKQ,1.03509817266509,0.003995657384666975,0.2717603833020281,0.2689914113754198,0.10448350788940308,9.90680915652978,7.231697043664642e-20,98.1448676639023,7.231697043664602e-20,265
LLY,0.5043008960390902,0.008952428822383231,0.0833374016672347,0.08119566662440114,0.08084490094808819,6.237881302655191,1.0663554647026215e-09,38.91116314601523,1.0663554647026226e-09,430
LMT,0.4894610664123817,0.007294659148441734,0.0949342363493199,0.09281959671462203,0.07305078806259423,6.7002845471424965,6.571346317980005e-11,44.89381301267652,6.571346317980052e-11,430
LNT,0.3685255206428106,0.004738931786588869,0.09206529580066523,0.08994395303384439,0.05594032893814969,6.587832564414666,1.3126743487013668e-10,43.399537896762325,1.3126743487013458e-10,430
LOW,1.1391658234540147,0.007745492762407017,0.28275768928761513,0.28108188949623103,0.08769822453728736,12.989611015097193,9.337588098425164e-33,168.72999432353424,9.337588098424873e-33,430
LRCX,1.9724147667127696,0.011085406577418662,0.30365725388361303,0.3020302848506309,0.1443763501486435,13.661619542827191,1.6092387122390048e-35,186.63984853295784,1.6092387122389933e-35,430
LULU,1.5315138843247182,0.006547649677414972,0.24648275586399362,0.24302625474410366,0.18136188407019813,8.444519046416218,4.301684818654178e-15,71.30990192528627,4.301684818654186e-15,220
LUV,1.0542265155202821,0.0033743362504758245,0.22513346867790568,0.22332303285705957,0.09453779548749527,11.15137612511524,1.5881521860907605e-25,124.35318948379017,1.5881521860907702e-25,430
LVS,2.1929940703874746,-0.002905177862685418,0.3244999234037826,0.3217870716905449,0.20051330058848907,10.936900763945474,5.402925973629951e-23,119.61579832039108,5.402925973629841e-23,251
LW,0.5833900597416211,0.0023043365487265145,0.0963403534977766,0.08781526249303861,0.1735419284341854,3.3616663419922053,0.0010783506025579073,11.300800594883256,0.00107835060255791,108
LYB,1.3160265274084,-0.0019958851739297068,0.3720906075939867,0.3686965027701704,0.12569063352050036,10.470362751364076,1.9234377285467672e-20,109.62849614515228,1.9234377285467305e-20,187
LYV,1.5512015303565119,0.0031469073111417504,0.3183053728087994,0.31542902417086194,0.14745754611859466,10.519648340743021,1.734908840599806e-21,110.66300121289738,1.734908840599796e-21,239
MA,0.9706163363138438,0.01476167548690114,0.2891245234223396,0.28606040498881524,0.09992126082291526,9.713811938722547,6.191346578455301e-19,94.35814238086871,6.191346578455261e-19,234
MAA,0.5820383893038751,0.004877545014019748,0.19337706912710093,0.19125437720375116,0.0609807311379092,9.54462792496835,1.7035199973924135e-19,91.09992222608564,1.70351999739243e-19,382
MAR,1.2581447412630227,0.0034167009968015197,0.43135845246534216,0.42963529626069175,0.0795195245173446,15.821834309240609,2.3528497421674142e-42,250.3304409090632,2.3528497421674378e-42,332
MAS,1.35436602969201,-0.0019326073148331225,0.39201823281292736,0.390597714665294,0.08152791055716856,16.612299032762635,3.470065169894162e-48,275.96847915392624,3.4700651698943087e-48,430
MCD,0.626374550401041,0.0048628619089903435,0.22153426284093097,0.2197154176606526,0.05675596583412781,11.036276824742131,4.315368791858281e-25,121.79940615234031,4.315368791858171e-25,430
MCHP,1.3988911070163854,0.008840490701895142,0.2608982627374633,0.25900313007781584,0.11922521759106483,11.733181413134393,1.9594454374314453e-27,137.66754607352235,1.959445437431466e-27,392
MCK,0.5951590777298611,0.008578274528761249,0.10179822239997463,0.09937065002808265,0.0919070989870935,6.475659489735817,3.0067309416730994e-10,41.934165827005536,3.0067309416734355e-10,372
MCO,0.9812276951410712,0.005108004509016725,0.31466834095237006,0.3128210858066891,0.07518076057200827,13.05157978817266,2.661529331852147e-32,170.34373496703708,2.6615293318526664e-32,373
MDLZ,0.5153108803517604,0.002481263460066165,0.12737971536170942,0.12438102022549535,0.0790651925447729,6.517544114750003,3.144335599270147e-10,42.47838128771241,3.1443355992701243e-10,293
MDT,0.7628717815784555,0.00482026853649948,0.2395983963903225,0.23782175712955222,0.06569150697435772,11.61294384487538,2.730745028211478e-27,134.8604647442289,2.7307450282113915e-27,430
MET,1.1868805911368423,0.001967281842002738,0.40444388038321755,0.40249123736808057,0.08246873251315348,14.391885930192258,3.3857635065905784e-36,207.1263806276658,3.385763506590563e-36,307
META,1.1260697362240182,0.01112458420723529,0.18544064193964593,0.18034964595176872,0.18657961951218904,6.035330863939581,1.0662081515258815e-08,36.42521863722169,1.0662081515258836e-08,162
MGM,1.8013522671194138,0.0009334898024650901,0.19672234938414865,0.19484553244345737,0.1759473607499039,10.238018117702271,3.769320241582193e-22,104.81701497839997,3.769320241582144e-22,430
MHK,1.4311253769058039,0.000892466820723678,0.27795331008894814,0.27615269490213756,0.11518666702756576,12.424401311684067,3.293776726850752e-30,154.36574795377672,3.29377672685104e-30,403
MKC,0.4665349635528742,0.005384095153821768,0.11545537561843723,0.11338868257081669,0.0624187556653363,7.474275297223848,4.419383479131019e-13,55.86479121869064,4.419383479131018e-13,430
MKTX,0.7832618421150184,0.006310306225100744,0.11583552380842839,0.11229886590366212,0.13686191513410734,5.723008050468394,2.985102237700342e-08,32.752821145726045,2.985102237700327e-08,252
