Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs,Weight
COR,0.009204538855231594,0.5595166180340576,0.2784132384599994,-0.01599334628925846,0.5092104304528694,0.5296537061562919,0.09850563591660133,0.0860195643919005,0.0064559264812350985,367,0.004395120096632026
K,0.00030807031803697823,0.46072563846794123,0.09365374685866987,-0.05205176974015966,0.5432194428387391,0.21096219825569731,0.11792807728450327,0.1075262857430469,0.0030267293447367723,430,0.004362355039792116
EFX,0.00010333784931641175,1.1175461232189763,0.27409700858226616,-0.2240856494242181,0.8495251901405458,0.4627750019212873,0.2496802413499244,0.24083213098848488,0.006405368799701329,430,0.004293836363653543
ABBV,0.009228188123573091,0.7255811721295833,0.06235124246436091,0.09066262943429133,0.15129457225419046,0.5180723478854573,0.1969313375716697,0.16980063951665847,0.004536570921326335,154,0.004250865550354726
XEL,0.0018914381147641644,0.5232245903461569,-0.24806608062316648,0.12495865141735799,0.19532935201070625,0.4647877090988261,0.13806746795817548,0.1279031692312672,0.003335554892868017,430,0.004231435681136002
WST,0.003112933936292246,0.8151739939938514,0.47247169141789935,-0.25756110901266616,0.5327246710608843,0.2549890893005558,0.24024986429037043,0.2312905466522852,0.00433768440426362,430,0.004171541535373082
PCAR,0.0013542511083920882,1.207620605177287,0.4260206085912525,0.23285823282386597,0.36397212867307543,0.24837348157363157,0.4014121060201,0.3943532865156202,0.004343189968058728,430,0.004161451220080041
WTW,0.0018860701983344872,0.6842417187159606,0.1393478064364421,0.15516976751355624,0.4957721782935279,0.15055287273757434,0.2474285653500884,0.2343175647464314,0.0030055450110530743,293,0.004087515286382551
PSX,0.001487692326785998,1.2925198690604822,0.04904131230034623,0.9529641179460389,-0.2174414800032583,0.45705987996717107,0.5136548487894066,0.4981661497062667,0.004348803736288314,163,0.004018262835047496
WELL,0.005284477199393457,0.6294719870286628,0.263924117929965,0.1740259265653542,0.3309840905496075,0.1974801451071263,0.1863544392410834,0.17675956234534151,0.003563905583529219,430,0.0040140578594542895
UDR,0.0015539469087954966,0.5908618154451086,0.49386878060731104,0.3533082047080545,0.25885319236752746,0.026777149842872112,0.25362031976026456,0.24481867258762613,0.0031077848889730264,430,0.004012617514847757
CNP,0.0003823269557272893,0.7253164892766324,-0.05101024349982031,0.23615111901639776,0.26892919309940433,0.533884928072701,0.15934301790940864,0.1494296101017366,0.005290160415252215,430,0.003995125309929955
