Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs
GL,-0.0009879259248399231,1.0324147644282797,-0.22407956489404374,0.9660798719093288,0.34631749479229007,-0.2474139947671709,0.4796875628926366,0.47353729767860153,0.002835956193879187,429
GLW,0.007561839418982525,1.3678512599812729,-0.2437232141565303,-0.2996796340407343,-1.532993088640797,0.7391088729174226,0.3513129929324763,0.34364529781347486,0.011087548689966685,429
GM,-0.003805230691535922,1.307672973515556,0.3399909938844593,0.6837056526879306,-0.3418285881858479,-0.3279899441372663,0.5048146858797025,0.490502971598769,0.004443773399476675,179
GNRC,0.012852365909987345,1.0814760787341955,0.935885716886574,-0.06806726337083122,-0.5497269412063853,-0.5261071769529013,0.2628909611072363,0.24264071278600652,0.012650898906920347,188
GOOG,0.011835461609641055,1.0497881501480817,-0.3771143129890169,-0.08615501179116147,-0.05000744028879117,-0.9259878141799145,0.3297283288809514,0.316214787124519,0.0052059530505118795,254
GOOGL,0.01177453843704834,1.0487717213103807,-0.3692491887851927,-0.08583642837063943,-0.030522402942463077,-0.9383722999916461,0.32944579707277144,0.3159265591105289,0.005220460843014674,254
GPC,-0.0025334440574210706,0.8315984325169141,0.2464343632522476,0.22778199378357633,0.5838795238600359,0.405606525493822,0.39526487364678287,0.38811670430454626,0.002118336245092654,429
GPN,0.0056184680570289525,0.8496767591852276,0.2758284468010134,0.13095425482437942,0.06893919962214996,-0.18994409407636909,0.24792242547680232,0.23500013038190193,0.0053677403957207055,297
GRMN,0.007286289568931876,1.020461261194263,0.5504353652675882,-0.005355593495979009,0.16489734154269223,0.16917747595364832,0.2721176965580704,0.2596539584854346,0.007037959396762834,298
GS,0.004977557975586757,1.3188983635845293,0.024853211671773064,0.5891980047909766,-0.5287535968581776,-0.4811812771427433,0.573953444019701,0.5671038209332011,0.003641719624330302,317
GWW,0.001124760963852329,0.991476808375396,0.1964626814501992,0.0998233097028788,0.7097459733926915,0.06695298743470629,0.3263962627970106,0.31843404368113604,0.003704082524260276,429
HAL,-0.003993436207286519,1.5243858120788223,0.10411763369736908,0.7381804693145614,-0.18528270159323398,0.5499870045118703,0.34817596554270225,0.340471189721694,0.009317989524094614,429
HAS,0.0007949398320073027,0.9645506198189685,0.10335431789247797,0.11856847980097295,0.17909184408778497,0.19226876530782783,0.2298977025707548,0.22079483853494808,0.005641018882148612,429
HBAN,-0.0009884539375120149,1.031405984637102,0.3068134519414877,1.5900685655610733,-0.08889914704199509,-0.7067665211517097,0.45683954627828327,0.45041920994587525,0.004990892767775499,429
HCA,0.0053251024850373115,1.3895862850955882,-0.038004772437475465,0.22959395563224994,0.18706140021241047,0.22682276756498196,0.376373005156452,0.3579225023504299,0.005972891457863534,175
HD,0.005661110115174899,1.0501706211553397,0.1375790407010534,0.022043845494506404,0.258677310263597,-0.09749815507189016,0.3728264632025129,0.36541306442240074,0.003583438451920315,429
HIG,-0.0003384607819061095,1.5774155707561843,-0.5036567096626233,1.4696083797993402,-0.09818554420654912,-0.15073009868204965,0.44230769410727067,0.43438592839856716,0.008382403193410727,358
HII,0.008924567418221273,0.743378781031708,0.003996374215798968,0.6693690493498781,-0.5011602341097511,-0.4689715305746041,0.25757156568971495,0.23560622739651127,0.004880400201515732,175
HLT,0.002358719064252095,1.1621770830129858,0.17895193638880985,0.26219665372069406,0.33254397659444096,-0.054115522202918105,0.5266776598442505,0.5092761032208774,0.0027479035485172922,142
HOLX,0.005733794124094367,1.128128957771028,0.8115894968091815,-0.6249312817065168,-0.02568583552934128,0.7261879100457903,0.18772524861558781,0.17807828007183002,0.015813869427528368,427
HON,-0.0015998936297304581,1.295603025140499,-0.1604762125909313,0.12298567001640531,0.3431427931411276,0.570882976143287,0.4508217441164991,0.44433027537083125,0.003350740244518571,429
HPE,-0.0006542660598387274,1.3479196177782096,-0.11556309479736517,0.48463397228000216,0.015936559312766184,0.09809069776645724,0.47885536580943744,0.45599814501160574,0.004506449583634295,120
HPQ,0.001326264123212598,1.2570608370289407,0.3357619108670483,-0.005891047171415315,-0.2963678277227241,0.08142104272977273,0.3908207808547176,0.3836200808648206,0.005903362672480105,429
HRL,0.0016139056281496166,0.4607317590901677,0.09377217949439211,-0.20811286722388253,0.40404738266829837,0.44125818128229544,0.09427646437504789,0.08357051241730618,0.0034021628294578065,429
HSIC,0.0018384103441338362,0.7196603425367415,0.5607699836937722,0.040744353086370394,0.33074476777347545,0.23348495295553523,0.17009962802277745,0.15834466524689617,0.00669657295321626,359
HST,0.004149403192559328,1.2733963701047641,0.6653452862795795,0.9776033079872186,0.5325988894605805,-0.44117469253217495,0.08001314716464825,0.06913859807675993,0.051177902767285156,429
HSY,0.003417619265414471,0.3469046542486126,-0.05850747442528454,-0.0795417981901113,0.5241026268582355,0.5352409491658764,0.09981634104273762,0.08917587226073687,0.0031695873946193808,429
HUBB,0.026372809026773848,1.049321694277232,-0.5340642856036882,-0.148255035218755,0.08889874242495173,0.1431427833543882,0.008904453822045633,-0.0028106235559444137,0.2231043777132079,429
HUM,0.011451155552413269,0.6998518061887093,-0.07786405627013858,0.6755997638875866,-0.25046354629148926,-0.11994980382705019,0.04225495828255743,0.03093409490528276,0.029571176713974398,429
HWM,0.015323629052255405,1.4937581585275619,0.10346899902963205,0.7451998953035487,0.1414413272991844,-0.3755686993249297,0.4313091122313799,0.40315609798540863,0.008388566531034605,107
IBM,0.002604095770734756,0.9362580258907756,-0.35232148004570907,-0.003961423776779791,-0.22097389883050741,0.020116916922250774,0.2927487282863904,0.2843887841763004,0.00419100689725848,429
ICE,0.008288143079903602,0.9355274854957353,-0.07660817590862067,0.10268351721301607,0.024107073538976013,-0.34232711863001775,0.24516203557717642,0.22896379599728756,0.005815202405358557,239
IDXX,0.014786858550996877,0.7614750087827148,0.8734222057483589,-0.47119901505300726,-0.22168511494676638,0.10752425697042865,0.22825809171314548,0.21875388101995752,0.009627660706419836,412
IEX,0.0008704056144878091,1.092064268098661,0.5568113369092753,0.0355602829556995,0.6511166665282657,0.1308154576049438,0.41442199253706624,0.4075002666805304,0.0034635339168708405,429
IFF,-0.0044280075544767695,0.9496519350443753,-0.11299441000420982,0.18804362148496792,0.5394096062931227,0.09083095822832331,0.32728032272173513,0.3193285534867675,0.003236571979710263,429
INCY,0.02178858659951149,1.0603244507472813,1.4149567411650459,-1.2624073136212497,-2.1913007432894935,1.5922300447989788,0.37263971755399605,0.3643192894048448,0.02374672228933905,383
INTC,0.005792205765798334,1.210632969407258,-0.15967622539261048,-0.14237954507732048,-0.48769433585786254,-0.05276710708738539,0.30526152146407903,0.2970494827106993,0.007894164438421565,429
INTU,0.012196194970133143,1.1011667162124263,0.0023824617409997834,-0.6082460173607858,0.013944389955804787,-0.36395266076626703,0.24810169942089622,0.23833678642636247,0.010574301916908927,391
INVH,-0.004722523389940091,0.7220839524610771,0.06644065037905476,0.07313873897612573,0.5312915161314274,-0.20715717900341518,0.3958877713394049,0.36506571885672146,0.0023280969633663194,104
